Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,
2025-07-09,175.60852437791746,179.7666484059067,173.38487860127222,177.15411376953125,31288000,496.33549554664154,502.76415743455226,495.77993553758444,499.52008056640625,18659500,208.70202548866368,210.49491569520316,206.40115605631001,210.3056640625,48749400
2025-07-10,176.16694359935292,179.07862729251107,175.23959900796677,178.191162109375,24693700,499.06366987607214,500.4426696344743,493.8056807647675,497.5061340332031,16492100,209.67816220166208,212.63642743345136,209.2000631819418,211.57066345214844,44443600
2025-07-11,177.40341900651282,182.09003308540355,177.03546641829647,180.79373168945312,23975700,494.5200000462786,501.0280145407016,493.85529597280816,499.3315734863281,16459500,209.73794232575938,211.29177557167307,209.03074119537857,210.3256072998047,39765800
2025-07-14,181.55157606315228,184.203990340659,180.19643695394902,182.28945922851562,20990400,497.5458219138798,499.9764196247383,497.0597144820079,499.033935546875,12058800,209.10044482334126,210.07658325197187,206.71988962428105,207.79562377929688,38840100
2025-07-15,183.41623298699918,184.88204837684916,181.8706435714378,182.57862854003906,23911600,499.033906939414,504.27206541624594,498.805748905247,501.8117370605469,14927200,208.39325734338402,211.05270487364396,208.09443976951917,208.28369140625,42296300
2025-07-16,183.7951562789434,184.8072654587967,182.55868170023993,183.24671936035156,21152600,501.17679603649344,502.70460109528983,497.9128887743687,501.6133117675781,15154400,209.46900551017632,211.5606982702429,207.81556132948495,209.32955932617188,47490500
2025-07-17,182.59360912811604,184.6597003678229,180.98320215483517,184.17408752441406,21654400,501.6728265840105,509.30189104591364,501.6133044647972,507.6451416015625,17503100,209.7379236663323,210.96305897069354,208.761785269157,209.19009399414062,48068100
2025-07-18,186.0885941142983,186.82649243957306,184.2039765036521,185.41053771972656,21033400,510.4030974050004,510.5618634291492,503.40897568442307,506.0082092285156,21209700,210.0367321724359,210.95309492429405,208.87135730762196,210.3455047607422,48974600
2025-07-21,186.56725704377217,190.71540028494329,186.5173963708382,190.605712890625,24665000,502.69469811942383,508.03210080948105,501.54388660874696,506.0181579589844,14066800,211.26189276464606,214.92734394651046,210.79374875413163,211.640380859375,51377400
2025-07-22,191.87210315551704,192.80942904222442,187.9582761229891,191.56298828125,26212900,506.92092641726225,507.1491147296819,501.2660827636719,501.2660827636719,13868600,212.29776458434165,214.1006098348481,211.39135685335447,213.5527801513672,46404100
2025-07-23,191.8122616415566,192.80941417343925,189.6384612100756,190.9646759033203,34068100,502.7343595827018,502.77405108780124,496.7323137246232,501.861328125,16396600,214.15041924441525,214.29982043425818,211.57065737650467,213.30377197265625,46989300
2025-07-24,197.54589455449943,198.40344636594713,191.40343112437813,192.64987182617188,45252100,504.73836945889843,509.59953458867506,503.28001689239056,506.8316650390625,16107000,213.05477516619655,214.83771055173221,212.68624207244096,212.9153289794922,46022600
2025-07-25,192.38063967306033,194.71896368694811,191.5829297825064,193.52737426757812,31101800,508.409026924469,514.1829150146133,506.3157616392057,509.6392517089844,19125700,213.85158759699283,214.38946224202752,212.55672164240056,213.0348358154297,40268800
2025-07-28,193.85641861722297,194.2652547885067,191.3086861013837,192.86923217773438,25553500,510.0063088656235,510.91900158393673,506.07766717141,508.4388122558594,14308000,213.18425263148458,214.00101967144602,212.2180844005514,213.2041778564453,37858000
2025-07-29,192.74958939416115,196.10002254359046,192.44047454062365,195.87066650390625,31891600,511.4448055642593,513.5182098314434,507.50623361872493,508.50823974609375,16469200,213.33365491441555,213.96117031669576,209.9869466315705,210.43516540527344,51411700
2025-07-30,195.74105428582791,197.91483960451836,195.00315589990151,196.8778076171875,21150500,511.0876726596135,511.8615208479224,505.40309770511885,509.1729736328125,26380400,211.06266703997414,211.5507362671114,206.89919168476044,208.22393798828125,45512500
2025-07-31,196.0401927171234,196.26953353783088,191.53305903886246,192.3108367919922,27852000,550.8301860551579,551.0484742016899,527.6851029610986,529.2723999023438,51617300,207.66616446381488,209.01082086651627,206.34141808889078,206.7498016357422,80698400
2025-08-01,189.2396045493179,191.07236832994607,188.1626779989125,189.40911865234375,21236700,530.7605061500977,531.5541546097426,516.7325410439772,519.956787109375,28977600,210.03671752861544,212.73601533219744,200.70374904924734,201.5802764892578,104434500
2025-08-04,190.63064182040998,195.52167386173045,190.37636305120955,195.19261169433594,23386000,524.0839138486996,533.9848111754816,523.9450087012631,531.3955078125,25349000,203.70186769022786,207.0585613783641,200.88304868853191,202.5464630126953,75109300
2025-08-05,194.98818991202364,198.13420493112548,194.12067207868012,194.7638397216797,19010200,532.9231983823397,533.0422426180032,523.0619638515897,523.5679321289062,19171600,202.59624780213056,204.52858421879685,201.36115745633876,202.11814880371094,44155100
2025-08-06,194.6940404711256,196.81798032699237,193.91326525690266,196.35928344726562,15383700,526.6930052823053,527.4866537198485,519.8774501718309,520.7802124023438,21355700,204.81744899810374,214.52892145014,204.77759854868273,212.40733337402344,108483100
2025-08-07,197.14704524438545,197.80515439006194,194.6641298180053,196.71826171875,14660600,522.6254396329194,523.9052559727172,513.4487398823029,516.7127075195312,16079100,218.01508808955717,219.97730473834642,215.7241736307253,219.16053771972656,90224800
2025-08-08,197.416259260937,202.85073766140218,197.33648523042044,201.51455688476562,24379900,518.4587582353118,520.502431840537,515.2940341981842,517.9031982421875,15531000,219.95737356583322,230.08718413442585,218.3836152444713,228.44371032714844,113854000
2025-08-11,200.9810638173645,201.58435203185698,199.23107153514874,201.0558624267578,16690200,518.1611446296885,523.4092640243366,515.6015722772428,517.6353759765625,20194400,227.27701087414155,228.91238364576833,224.12592192869855,226.53909301757812,61806100
2025-08-12,201.51953670048817,204.54589820462374,200.8265084062007,203.5786590576172,19854000,519.5997169841131,526.7724058726347,518.5580494708657,525.0462036132812,18667000,227.36674823663387,230.14888579943394,226.429412881848,229.0021209716797,55626200
2025-08-13,204.39631813928864,204.845033727696,198.07437484974005,202.45187377929688,19573000,527.8934364066101,528.4787877679453,515.2544004746543,516.454833984375,19619200,230.4181341091737,234.33703985510917,229.77992501054072,232.6717529296875,69878500
